text,label
Your Aadhaar is linked to a money laundering case,1
CBI officer speaking. Stay on this video call,1
Customs department has seized your parcel,1
ED investigation has been initiated against you,1
Transfer funds immediately to avoid arrest,1
A warrant has been issued in your name,1
Cyber Crime Department has registered a case against you,1
Your SIM card has been used for illegal activities,1
Your bank account is under investigation,1
An arrest warrant has been generated against your Aadhaar,1
You are connected to an international fraud case,1
Verification is required to avoid legal action,1
Do not disconnect this video call,1
A case has been registered against your PAN card,1
Immediate payment is required to freeze the complaint,1
Your parcel contains illegal substances,1
The Supreme Court has issued a notice in your name,1
Your account will be frozen within 30 minutes,1
A non-bailable warrant has been issued against you,1
Transfer money to verify your identity,1
You are under digital surveillance by law enforcement,1
The Enforcement Directorate is investigating your account,1
Your Aadhaar has been used to open fraudulent accounts,1
Stay online while verification is completed,1
Your mobile number appears in a criminal investigation,1
Customs officers have intercepted your package,1
Failure to cooperate will result in immediate arrest,1
Your identity is linked to financial crimes,1
Legal proceedings have been initiated against you,1
A complaint has been filed against your bank account,1
You must pay a security deposit to avoid arrest,1
National Cyber Crime Bureau is investigating you,1
Your PAN card has been linked to suspicious transactions,1
An FIR has been registered against you,1
A virtual arrest order has been issued,1
You must remain on video call until clearance,1
A suspicious parcel has been traced to your address,1
Immediate verification is required by CBI,1
The police cyber cell is tracking your activities,1
You have violated financial regulations,1
You are required to pay a verification fee,1
Your KYC has been linked to criminal activity,1
A money laundering complaint has been filed,1
Your identity has been found in a fraud network,1
The court has authorized action against your account,1
Your account is flagged by the RBI investigation unit,1
A customs case is pending against you,1
A criminal case has been registered in your name,1
Your account will be blocked unless verified immediately,1
Stay connected until the investigation concludes,1
text,label
Your salary has been credited successfully,0
Meeting scheduled tomorrow at 10 AM,0
Your train ticket is confirmed,0
Happy Birthday and have a great year ahead,0
Your electricity bill has been generated,0
Thank you for shopping with us,0
Your package will arrive today,0
Welcome to our banking services,0
Your order has been delivered successfully,0
Please attend the team meeting at 2 PM,0
